abk	Abkhaz
krc	Karachay-Balkar
krl	Karelian
ksh	Kölsch
kum	Kumyk
kur	Kurdish
kxi	Keningau Murut
kzj	Coastal Kadazan
lad	Ladino
lao	Lao
lat	Latin
ldn	Láadan
lfn	Lingua Franca Nova
lin	Lingala
lit	Lithuanian
liv	Livonian
lkt	Lakota
lld	Ladin
lmo	Lombard
lou	Louisiana Creole
ltz	Luxembourgish
lug	Luganda
lvs	Latvian
lzh	Literary Chinese
lzhg 
lzz	Laz
mad	Madurese
mah	Marshallese
mai	Maithili
mal	Malayalam
mar	Marathi
max	North Moluccan Malay
mdf	Moksha
mfe	Morisyen
mgm	Mambae
mhr	Meadow Mari
mic	Migkmaq")
min	Minangkabau
mkd	Macedonian
mlg	Malagasy
mlt	Maltese
mnw	Mon
moh	Mohawk
mon	Mongolian
mri	Maori
mrj	Hill Mari
mvv	Tagal Murut
mww	Hmong Daw (White)
mya	Burmese
myv	Erzya
nah	Nahuatl
nan	Min Nan Chinese
nau	Nauruan
nav	Navajo
nch	Central Huasteca Nahuatl
nds	Low Saxon
ngt	Ngeq 
ngu	Guerrero Nahuatl
niu	Niuean
nld	Dutch
nlv	Orizaba Nahuatl
nno	Norwegian (Nynorsk)
nob	Norwegian (Bokmål)
nog	Nogai
non	Old Norse
nov	Novial
npi	Nepali
nst	Naga (Tangshang)
nya	Chinyanja
oar	Old Aramaic
oci	Occitan
oji	Ojibwe
ori	Odia (Oriya)
orv	Old East Slavic
oss	Ossetian
osx	Old Saxon
ota	Ottoman Turkish
pag	Pangasinan
pam	Kapampangan
pan	Punjabi (Eastern)
pap	Papiamento
pau	Palauan
pcd	Picard
pdc	Pennsylvania German
pes	Persian
pfl	Palatine German
pms	Piedmontese
pnb	Punjabi (Western)
pol	Polish
por	Portuguese
ppl	Pipil
prg	Old Prussian
pus	Pashto
quc	Kgiche'")
que	Quechua
qya	Quenya
rif	Tarifit
roh	Romansh
rom	Romani
ron	Romanian
rue	Rusyn
rus	Russian
sag	Sango
sah	Yakut
san	Sanskrit
scn	Sicilian
sco	Scots
sgs	Samogitian
shs	Shuswap
sin	Sinhala
sjn	Sindarin
slk	Slovak
slv	Slovenian
sma	Southern Sami
sme	Northern Sami
smo	Samoan
sna	Shona
snd	Sindhi
som	Somali
sot	Southern Sotho
spa	Spanish
sqi	Albanian
srd	Sardinian
srp	Serbian
ssw	Swazi
sun	Sundanese
sux	Sumerian
swe	Swedish
swg	Swabian
swh	Swahili
tah	Tahitian
tam	Tamil
tat	Tatar
tel	Telugu
tet	Tetun
tgk	Tajik
tgl	Tagalog
tha	Thai
tir	Tigrinya
tkl	Tokelauan
tlh	Klingon
tly	Talysh
tmw	Temuan
tok	gToki Pona
ton	Tongan
tpi	Tok Pisin
tpw	Old Tupi
tsn	Setswana
tso	Tsonga
tuk	Turkmen
tur	Turkish
tvl	Tuvaluan
tyv	Tuvinian
tzl	Talossan
udm	Udmurt
uig	Uyghur
ukr	Ukrainian
umb	Umbundu
urd	Urdu
urh	Urhobo
uzb	Uzbek
vec	Venetian
vep	Veps
vie	Vietnamese
vol	Volapük
vro	Võro
war	Waray
wln	Walloon
wol	Wolof
wuu	Shanghainese
wuug 
xal	Kalmyk
xho	Xhosa
yid	Yiddish
yor	Yoruba
yue	Cantonese
yueg 
zlm	Malay (Vernacular)
zsm	Malay
zul	Zulu
zza	Zaza
